HYPERPARAMETERS OF EACH ITERATION:
|   iter    |  target   | baggin... | baggin... | featur... | lambda_l1 | lambda_l2 | min_ch... | num_le... |
|  80       |  0.9994   |  0.7978   |  4.858    |  0.9546   |  4.536    |  6.566    |  44.84    |  217.0    |
|  81       |  0.9994   |  0.5646   |  5.75     |  0.8924   |  9.766    |  1.332    |  30.85    |  108.3    |
|  82       |  0.9993   |  0.9175   |  5.242    |  0.4957   |  7.411    |  6.597    |  35.74    |  10.95    |
|  83       |  0.9994   |  0.4248   |  6.532    |  0.6109   |  2.998    |  3.563    |  24.2     |  209.4    |
|  84       |  0.9994   |  0.8161   |  2.147    |  0.6203   |  8.659    |  0.6733   |  49.75    |  48.48    |
|  85       |  0.9994   |  0.427    |  1.922    |  0.6625   |  6.369    |  1.243    |  28.38    |  16.73    |
|  86       |  0.9994   |  0.4649   |  6.254    |  0.9219   |  9.962    |  3.213    |  70.2     |  110.1    |
|  87       |  0.9994   |  0.7659   |  6.794    |  0.5447   |  1.06     |  2.209    |  70.44    |  130.6    |
|  88       |  0.9995   |  0.9823   |  2.531    |  0.9506   |  3.568    |  2.966    |  85.93    |  46.09    |
|  89       |  0.9994   |  0.6721   |  3.945    |  0.9003   |  8.489    |  3.596    |  22.87    |  223.4    |
|  90       |  0.9993   |  0.9656   |  4.87     |  0.407    |  7.387    |  9.417    |  62.65    |  147.2    |
|  91       |  0.9993   |  0.6728   |  2.276    |  0.4164   |  6.587    |  2.875    |  74.81    |  235.6    |
|  92       |  0.9994   |  0.6155   |  4.481    |  0.8625   |  2.157    |  9.715    |  42.25    |  167.9    |
|  93       |  0.9994   |  0.9328   |  6.581    |  0.7373   |  9.093    |  7.157    |  12.4     |  51.33    |
|  94       |  0.9994   |  0.9043   |  5.181    |  0.4027   |  4.262    |  4.593    |  28.78    |  46.98    |
|  95       |  0.9995   |  0.8207   |  6.231    |  0.823    |  3.71     |  5.71     |  25.85    |  55.85    |
|  96       |  0.9995   |  0.7183   |  4.782    |  0.9939   |  2.707    |  6.66     |  83.58    |  151.9    |
|  97       |  0.9994   |  0.8248   |  5.707    |  0.7315   |  5.348    |  5.653    |  56.33    |  184.9    |
|  98       |  0.9994   |  0.961    |  6.739    |  0.6601   |  1.716    |  9.005    |  89.49    |  132.6    |
|  99       |  0.9994   |  0.8366   |  3.978    |  0.7021   |  7.87     |  1.839    |  13.95    |  72.79    |
|  100      |  0.9995   |  0.5649   |  5.02     |  0.7792   |  2.119    |  3.145    |  36.49    |  69.92    |
|  101      |  0.9995   |  0.4519   |  3.0      |  0.8331   |  0.0416   |  0.5419   |  82.59    |  145.8    |
|  102      |  0.9993   |  0.6082   |  2.843    |  0.5421   |  5.114    |  3.137    |  28.92    |  7.183    |
|  103      |  0.9995   |  0.7075   |  2.52     |  0.8814   |  4.19     |  1.611    |  7.247    |  53.04    |
|  104      |  0.9994   |  0.948    |  2.642    |  0.4735   |  6.93     |  8.353    |  35.96    |  226.3    |
|  105      |  0.9994   |  0.9133   |  6.66     |  0.4202   |  5.337    |  4.649    |  72.91    |  225.5    |
|  106      |  0.9994   |  0.4608   |  5.702    |  0.8533   |  6.817    |  2.121    |  52.81    |  238.2    |
|  107      |  0.9995   |  0.8468   |  4.508    |  0.9472   |  5.777    |  6.101    |  51.2     |  233.8    |
|  108      |  0.9994   |  0.6462   |  1.674    |  0.7071   |  5.141    |  2.185    |  90.7     |  96.06    |
